"Pop_Code","Plant_ID","Year","yday","Site","Latitude","Longitude","GD","GDs","GDD","GDDs","meanGDeg","varGDeg","skewGDeg","kurtGDeg","numStns"
29,"1_BEF_J24_2_7",2008,183,"1_BEF",39.059479,-78.059835,185,76,2065.70531691328,738.629236414195,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
30,"1_BEF_C19_2_8",2008,178,"1_BEF",39.059479,-78.059835,185,71,2065.70531691328,661.402589091938,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
31,"1_BEF_T15_2_9",2008,193,"1_BEF",39.059479,-78.059835,185,86,2065.70531691328,884.623948050102,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
32,"1_BEF_A6_2_10",2008,168,"1_BEF",39.059479,-78.059835,185,61,2065.70531691328,543.771806598197,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
33,"1_BEF_S23_2_11",2008,193,"1_BEF",39.059479,-78.059835,185,86,2065.70531691328,884.623948050102,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
34,"1_BEF_J7_2_12",2008,190,"1_BEF",39.059479,-78.059835,185,83,2065.70531691328,837.578521216579,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
35,"1_BEF_T1_2_13",2008,183,"1_BEF",39.059479,-78.059835,185,76,2065.70531691328,738.629236414195,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
36,"1_BEF_E15_2_14",2008,164,"1_BEF",39.059479,-78.059835,185,57,2065.70531691328,483.808123963962,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
37,"1_BEF_E11_2_15",2008,174,"1_BEF",39.059479,-78.059835,185,67,2065.70531691328,609.184739543773,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
38,"1_BEF_E15_2_16",2008,181,"1_BEF",39.059479,-78.059835,185,74,2065.70531691328,712.460020170904,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
39,"1_BEF_E12_2_17",2008,176,"1_BEF",39.059479,-78.059835,185,69,2065.70531691328,634.551260788014,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
40,"1_BEF_J1_2_18",2008,193,"1_BEF",39.059479,-78.059835,185,86,2065.70531691328,884.623948050102,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
41,"1_BEF_C30_2_20",2008,178,"1_BEF",39.059479,-78.059835,185,71,2065.70531691328,661.402589091938,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
42,"1_BEF_C28_2_21",2008,169,"1_BEF",39.059479,-78.059835,185,62,2065.70531691328,555.476661943101,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
43,"1_BEF_S19_2_22",2008,195,"1_BEF",39.059479,-78.059835,185,88,2065.70531691328,917.085613605401,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
44,"1_BEF_A20_2_23",2008,176,"1_BEF",39.059479,-78.059835,185,69,2065.70531691328,634.551260788014,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
45,"1_BEF_E17_3_1",2008,167,"1_BEF",39.059479,-78.059835,185,60,2065.70531691328,530.713145284434,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
46,"1_BEF_E30_3_2",2008,172,"1_BEF",39.059479,-78.059835,185,65,2065.70531691328,583.483893059293,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
47,"1_BEF_A15_3_3",2008,185,"1_BEF",39.059479,-78.059835,185,78,2065.70531691328,763.327117430539,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
48,"1_BEF_C18_3_4",2008,171,"1_BEF",39.059479,-78.059835,185,64,2065.70531691328,573.704513279014,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
49,"1_BEF_J18_3_6",2008,205,"1_BEF",39.059479,-78.059835,185,98,2065.70531691328,1080.80092356771,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
50,"1_BEF_J25_3_7",2008,178,"1_BEF",39.059479,-78.059835,185,71,2065.70531691328,661.402589091938,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
