"Pop_Code","Plant_ID","Year","yday","Site","Latitude","Longitude"
"180","2_KSR_T6_3_1",2008,205,"2_KSR",44.027957,-79.541863
"181","2_KSR_J25_3_2",2008,193,"2_KSR",44.027957,-79.541863
"182","2_KSR_J17_3_3",2008,206,"2_KSR",44.027957,-79.541863
"183","2_KSR_A20_3_4",2008,192,"2_KSR",44.027957,-79.541863
"184","2_KSR_C18_3_5",2008,198,"2_KSR",44.027957,-79.541863
"185","2_KSR_T15_3_6",2008,207,"2_KSR",44.027957,-79.541863
"186","2_KSR_S6_3_7",2008,198,"2_KSR",44.027957,-79.541863
"187","2_KSR_C14_3_8",2008,192,"2_KSR",44.027957,-79.541863
"188","2_KSR_J26_3_9",2008,205,"2_KSR",44.027957,-79.541863
"189","2_KSR_C13_3_10",2008,195,"2_KSR",44.027957,-79.541863
"190","2_KSR_C22_3_11",2008,191,"2_KSR",44.027957,-79.541863
"191","2_KSR_A6_3_12",2008,191,"2_KSR",44.027957,-79.541863
"192","2_KSR_A2_3_13",2008,195,"2_KSR",44.027957,-79.541863
"193","2_KSR_C27_3_14",2008,195,"2_KSR",44.027957,-79.541863
"194","2_KSR_C20_3_16",2008,198,"2_KSR",44.027957,-79.541863
"195","2_KSR_C28_3_17",2008,195,"2_KSR",44.027957,-79.541863
"196","2_KSR_C29_3_18",2008,198,"2_KSR",44.027957,-79.541863
"197","2_KSR_C15_3_19",2008,195,"2_KSR",44.027957,-79.541863
"198","2_KSR_J11_3_20",2008,201,"2_KSR",44.027957,-79.541863
"199","2_KSR_S17_3_21",2008,220,"2_KSR",44.027957,-79.541863
"200","2_KSR_J24_3_22",2008,193,"2_KSR",44.027957,-79.541863
"201","2_KSR_C2_3_23",2008,195,"2_KSR",44.027957,-79.541863
"202","2_KSR_J7_3_24",2008,193,"2_KSR",44.027957,-79.541863
"203","2_KSR_S15_3_25",2008,212,"2_KSR",44.027957,-79.541863
"204","2_KSR_J21_4_2",2008,197,"2_KSR",44.027957,-79.541863
"205","2_KSR_A6_4_3",2008,197,"2_KSR",44.027957,-79.541863
"206","2_KSR_E3_4_4",2008,186,"2_KSR",44.027957,-79.541863
"207","2_KSR_C22_4_5",2008,193,"2_KSR",44.027957,-79.541863
"208","2_KSR_T1_4_6",2008,202,"2_KSR",44.027957,-79.541863
"209","2_KSR_E6_4_7",2008,192,"2_KSR",44.027957,-79.541863
"210","2_KSR_E25_4_8",2008,191,"2_KSR",44.027957,-79.541863
"211","2_KSR_A16_4_9",2008,194,"2_KSR",44.027957,-79.541863
"212","2_KSR_E18_4_11",2008,202,"2_KSR",44.027957,-79.541863
"213","2_KSR_S13_4_12",2008,239,"2_KSR",44.027957,-79.541863
"214","2_KSR_A2_4_13",2008,192,"2_KSR",44.027957,-79.541863
"215","2_KSR_J1_4_15",2008,197,"2_KSR",44.027957,-79.541863
"216","2_KSR_S13_4_16",2008,200,"2_KSR",44.027957,-79.541863
"217","2_KSR_E2_4_17",2008,195,"2_KSR",44.027957,-79.541863
"218","2_KSR_S9_4_18",2008,212,"2_KSR",44.027957,-79.541863
"219","2_KSR_E11_4_19",2008,195,"2_KSR",44.027957,-79.541863
"220","2_KSR_T6_4_21",2008,206,"2_KSR",44.027957,-79.541863
"221","2_KSR_T10_4_23",2008,195,"2_KSR",44.027957,-79.541863
"222","2_KSR_C19_4_24",2008,191,"2_KSR",44.027957,-79.541863
"223","2_KSR_E12_4_25",2008,191,"2_KSR",44.027957,-79.541863
"224","2_KSR_J3_5_1",2008,197,"2_KSR",44.027957,-79.541863
"225","2_KSR_T10_5_2",2008,194,"2_KSR",44.027957,-79.541863
"226","2_KSR_E25_5_3",2008,191,"2_KSR",44.027957,-79.541863
"227","2_KSR_S4_5_4",2008,205,"2_KSR",44.027957,-79.541863
"228","2_KSR_J24_5_6",2008,198,"2_KSR",44.027957,-79.541863
"229","2_KSR_S1_5_7",2008,219,"2_KSR",44.027957,-79.541863
"230","2_KSR_E18_5_8",2008,191,"2_KSR",44.027957,-79.541863
"231","2_KSR_S14_5_10",2008,235,"2_KSR",44.027957,-79.541863
"232","2_KSR_C2_5_11",2008,192,"2_KSR",44.027957,-79.541863
"233","2_KSR_E23_5_12",2008,193,"2_KSR",44.027957,-79.541863
"234","2_KSR_E24_5_13",2008,195,"2_KSR",44.027957,-79.541863
"235","2_KSR_C20_5_14",2008,200,"2_KSR",44.027957,-79.541863
"236","2_KSR_E17_5_16",2008,191,"2_KSR",44.027957,-79.541863
"237","2_KSR_T2_5_17",2008,212,"2_KSR",44.027957,-79.541863
"238","2_KSR_T2_5_19",2008,247,"2_KSR",44.027957,-79.541863
"239","2_KSR_S23_5_20",2008,202,"2_KSR",44.027957,-79.541863
"240","2_KSR_S23_5_21",2008,229,"2_KSR",44.027957,-79.541863
"241","2_KSR_E13_5_22",2008,192,"2_KSR",44.027957,-79.541863
"242","2_KSR_J11_5_23",2008,198,"2_KSR",44.027957,-79.541863
"243","2_KSR_E17_5_24",2008,197,"2_KSR",44.027957,-79.541863
"244","2_KSR_C17_5_25",2008,198,"2_KSR",44.027957,-79.541863
"245","2_KSR_C1_6_1",2008,195,"2_KSR",44.027957,-79.541863
"246","2_KSR_J7_6_2",2008,202,"2_KSR",44.027957,-79.541863
"247","2_KSR_C29_6_3",2008,195,"2_KSR",44.027957,-79.541863
"248","2_KSR_A22_6_4",2008,197,"2_KSR",44.027957,-79.541863
"249","2_KSR_J22_6_5",2008,195,"2_KSR",44.027957,-79.541863
"250","2_KSR_E13_6_6",2008,201,"2_KSR",44.027957,-79.541863
"251","2_KSR_S1_6_7",2008,219,"2_KSR",44.027957,-79.541863
"252","2_KSR_T7_6_8",2008,191,"2_KSR",44.027957,-79.541863
"253","2_KSR_J25_6_9",2008,197,"2_KSR",44.027957,-79.541863
"254","2_KSR_C15_6_10",2008,197,"2_KSR",44.027957,-79.541863
"255","2_KSR_T14_6_11",2008,205,"2_KSR",44.027957,-79.541863
"256","2_KSR_A18_6_12",2008,198,"2_KSR",44.027957,-79.541863
"257","2_KSR_E30_6_13",2008,195,"2_KSR",44.027957,-79.541863
"258","2_KSR_E2_6_14",2008,197,"2_KSR",44.027957,-79.541863
"259","2_KSR_E11_6_15",2008,192,"2_KSR",44.027957,-79.541863
"260","2_KSR_S14_6_16",2008,229,"2_KSR",44.027957,-79.541863
"261","2_KSR_A12_6_17",2008,195,"2_KSR",44.027957,-79.541863
"262","2_KSR_A16_6_18",2008,191,"2_KSR",44.027957,-79.541863
"263","2_KSR_J9_6_19",2008,200,"2_KSR",44.027957,-79.541863
"264","2_KSR_J28_6_20",2008,197,"2_KSR",44.027957,-79.541863
"265","2_KSR_J18_6_22",2008,213,"2_KSR",44.027957,-79.541863
"266","2_KSR_S15_6_23",2008,207,"2_KSR",44.027957,-79.541863
"267","2_KSR_S2_6_24",2008,220,"2_KSR",44.027957,-79.541863
"268","2_KSR_J10_6_25",2008,216,"2_KSR",44.027957,-79.541863
"269","3_Timmins_C18_1_1",2008,216,"3_Timmins",48.468117,-81.351663
"270","3_Timmins_T2_1_5",2008,248,"3_Timmins",48.468117,-81.351663
"271","3_Timmins_E23_1_6",2008,212,"3_Timmins",48.468117,-81.351663
"272","3_Timmins_T1_1_8",2008,245,"3_Timmins",48.468117,-81.351663
"273","3_Timmins_C18_1_9",2008,219,"3_Timmins",48.468117,-81.351663
"274","3_Timmins_J9_1_10",2008,240,"3_Timmins",48.468117,-81.351663
"275","3_Timmins_S6_1_12",2008,248,"3_Timmins",48.468117,-81.351663
"276","3_Timmins_C1_1_13",2008,212,"3_Timmins",48.468117,-81.351663
"277","3_Timmins_C14_1_15",2008,207,"3_Timmins",48.468117,-81.351663
"278","3_Timmins_T15_1_16",2008,250,"3_Timmins",48.468117,-81.351663
"279","3_Timmins_S19_1_17",2008,233,"3_Timmins",48.468117,-81.351663
"280","3_Timmins_T14_1_18",2008,237,"3_Timmins",48.468117,-81.351663
"281","3_Timmins_E6_1_20",2008,212,"3_Timmins",48.468117,-81.351663
"282","3_Timmins_J10_1_21",2008,221,"3_Timmins",48.468117,-81.351663
"283","3_Timmins_A16_1_22",2008,207,"3_Timmins",48.468117,-81.351663
"284","3_Timmins_E23_1_23",2008,216,"3_Timmins",48.468117,-81.351663
"285","3_Timmins_C27_2_3",2008,233,"3_Timmins",48.468117,-81.351663
"286","3_Timmins_S10_2_4",2008,250,"3_Timmins",48.468117,-81.351663
"287","3_Timmins_A18_2_7",2008,207,"3_Timmins",48.468117,-81.351663
"288","3_Timmins_E6_2_9",2008,209,"3_Timmins",48.468117,-81.351663
"289","3_Timmins_S4_2_10",2008,264,"3_Timmins",48.468117,-81.351663
"290","3_Timmins_E11_2_11",2008,212,"3_Timmins",48.468117,-81.351663
"291","3_Timmins_S9_2_12",2008,246,"3_Timmins",48.468117,-81.351663
"292","3_Timmins_C20_2_13",2008,207,"3_Timmins",48.468117,-81.351663
"293","3_Timmins_J26_2_14",2008,248,"3_Timmins",48.468117,-81.351663
"294","3_Timmins_S13_2_15",2008,248,"3_Timmins",48.468117,-81.351663
"295","3_Timmins_C19_2_16",2008,214,"3_Timmins",48.468117,-81.351663
"296","3_Timmins_T11_2_17",2008,216,"3_Timmins",48.468117,-81.351663
"297","3_Timmins_E18_2_18",2008,207,"3_Timmins",48.468117,-81.351663
"298","3_Timmins_J26_2_19",2008,205,"3_Timmins",48.468117,-81.351663
"299","3_Timmins_T24_2_20",2008,223,"3_Timmins",48.468117,-81.351663
"300","3_Timmins_A6_2_21",2008,230,"3_Timmins",48.468117,-81.351663
"301","3_Timmins_C14_2_25",2008,209,"3_Timmins",48.468117,-81.351663
"302","3_Timmins_J21_3_1",2008,253,"3_Timmins",48.468117,-81.351663
"303","3_Timmins_A12_3_2",2008,216,"3_Timmins",48.468117,-81.351663
"304","3_Timmins_E13_3_3",2008,209,"3_Timmins",48.468117,-81.351663
"305","3_Timmins_A22_3_4",2008,228,"3_Timmins",48.468117,-81.351663
"306","3_Timmins_A2_3_5",2008,223,"3_Timmins",48.468117,-81.351663
"307","3_Timmins_A13_3_6",2008,207,"3_Timmins",48.468117,-81.351663
"308","3_Timmins_T6_3_7",2008,233,"3_Timmins",48.468117,-81.351663
"309","3_Timmins_J24_3_9",2008,223,"3_Timmins",48.468117,-81.351663
"310","3_Timmins_T15_3_10",2008,219,"3_Timmins",48.468117,-81.351663
"311","3_Timmins_C28_3_11",2008,228,"3_Timmins",48.468117,-81.351663
"312","3_Timmins_S20_3_13",2008,216,"3_Timmins",48.468117,-81.351663
"313","3_Timmins_C22_3_14",2008,202,"3_Timmins",48.468117,-81.351663
"314","3_Timmins_S12_3_15",2008,250,"3_Timmins",48.468117,-81.351663
"315","3_Timmins_T6_3_16",2008,219,"3_Timmins",48.468117,-81.351663
"316","3_Timmins_E15_3_17",2008,214,"3_Timmins",48.468117,-81.351663
"317","3_Timmins_S6_3_18",2008,221,"3_Timmins",48.468117,-81.351663
"318","3_Timmins_J21_3_19",2008,233,"3_Timmins",48.468117,-81.351663
"319","3_Timmins_J11_3_20",2008,214,"3_Timmins",48.468117,-81.351663
"320","3_Timmins_E16_3_21",2008,223,"3_Timmins",48.468117,-81.351663
"321","3_Timmins_C11_3_22",2008,209,"3_Timmins",48.468117,-81.351663
"322","3_Timmins_E17_4_1",2008,212,"3_Timmins",48.468117,-81.351663
"323","3_Timmins_C20_4_2",2008,212,"3_Timmins",48.468117,-81.351663
"324","3_Timmins_J24_4_3",2008,250,"3_Timmins",48.468117,-81.351663
"325","3_Timmins_C2_4_4",2008,212,"3_Timmins",48.468117,-81.351663
"326","3_Timmins_E18_4_5",2008,223,"3_Timmins",48.468117,-81.351663
"327","3_Timmins_C13_4_6",2008,205,"3_Timmins",48.468117,-81.351663
"328","3_Timmins_C17_4_8",2008,226,"3_Timmins",48.468117,-81.351663
"329","3_Timmins_A7_4_9",2008,214,"3_Timmins",48.468117,-81.351663
"330","3_Timmins_C1_4_11",2008,214,"3_Timmins",48.468117,-81.351663
"331","3_Timmins_C2_4_12",2008,219,"3_Timmins",48.468117,-81.351663
"332","3_Timmins_J18_4_13",2008,228,"3_Timmins",48.468117,-81.351663
"333","3_Timmins_E30_4_14",2008,209,"3_Timmins",48.468117,-81.351663
"334","3_Timmins_J17_4_15",2008,233,"3_Timmins",48.468117,-81.351663
